54.36.150.56 - - [06/Mar/2019:02:14:49 -0800] "GET /self.logs/access.log.2018-05-11.gz HTTP/1.1" 200 31990 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
113.171.224.176 - - [06/Mar/2019:02:17:55 -0800] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 61320 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
157.55.39.138 - - [06/Mar/2019:02:18:10 -0800] "GET /self.logs/error.log.2017-03-26.gz HTTP/1.1" 200 1470 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
27.205.226.127 - - [06/Mar/2019:02:18:36 -0800] "GET /favicon.ico HTTP/1.1" 200 268 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36" 
36.110.199.63 - - [06/Mar/2019:02:20:20 -0800] "GET / HTTP/1.1" 200 12470 "http://www.baidu.com/s?wd=Z5ET" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0" 
41.223.160.131 - - [06/Mar/2019:02:27:34 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 304 154 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
103.27.238.198 - - [06/Mar/2019:02:28:38 -0800] "GET / HTTP/1.1" 200 12470 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36" 
42.236.10.117 - - [06/Mar/2019:02:28:53 -0800] "GET / HTTP/1.1" 301 483 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1" 
42.236.10.117 - - [06/Mar/2019:02:28:54 -0800] "GET / HTTP/1.1" 200 12470 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1" 
42.236.10.117 - - [06/Mar/2019:02:28:55 -0800] "GET /twitter-icon.png HTTP/1.1" 200 27787 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1" 
42.236.10.117 - - [06/Mar/2019:02:28:55 -0800] "GET /GitHub-Mark.png HTTP/1.1" 200 7428 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1" 
114.115.254.113 - - [06/Mar/2019:02:29:00 -0800] "GET / HTTP/1.1" 301 498 "http://secrepo.com/" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
